ID;VL_FATU;VL_SLDO;DT_ABRT;DS_CNAE;DT_REFE;IDADE_ANOS;MOMENTO_VIDA;VL_TOTAL_RECEBIDO;VL_TOTAL_PAGO
CNPJ_06703;1361241;-87471;2021-04-21;Distribuição de energia elétrica;2025-05-31;4;Expansão;19278694;2960554
CNPJ_06704;2423666;-176962;2018-05-10;Comércio atacadista de medicamentos;2025-05-31;7;Maturidade;30790000;6322355
CNPJ_06705;16517690;782200;2009-02-24;Produção de ferro-gusa;2025-05-31;16;Declínio;317;133
CNPJ_06706;235185;-10224;2023-02-27;Saneamento básico;2025-05-31;2;Expansão;721;0
CNPJ_06707;2712231;82551;2021-12-02;Administração pública;2025-05-31;3;Expansão;6882;0
CNPJ_06708;139295;-3970;2022-06-22;Consultoria empresarial;2025-05-31;3;Expansão;20488;12657
CNPJ_06709;2755302;185917;2014-01-28;Cultivo de soja;2025-05-31;11;Declínio;0;350
CNPJ_06710;1794326;-154485;2017-02-02;Transporte rodoviário de carga;2025-05-31;8;Maturidade;81208;21524
CNPJ_06711;71226499;-5720567;2003-10-24;Consultoria empresarial;2025-05-31;22;Declínio;123;0
CNPJ_06712;2813967;266970;2017-12-19;Comércio atacadista de bebidas;2025-05-31;7;Maturidade;4190;652
CNPJ_06713;220817;-8062;2020-07-27;Televisão aberta;2025-05-31;5;Maturidade;0;555
CNPJ_06714;2016690;-99661;2021-02-10;Obras de infraestrutura elétrica;2025-05-31;4;Expansão;481;0
CNPJ_06642;1091233;5819;2022-04-06;Educação superior;2025-05-31;3;Expansão;351774;195905
CNPJ_06700;951886;42201;2018-05-19;Comércio atacadista de calçados;2025-05-31;7;Maturidade;0;58710
CNPJ_06699;1253064;68755;2016-07-02;Cultivo de trigo;2025-05-31;9;Maturidade;14;23
CNPJ_06698;23638398;103862;2015-01-17;Distribuição de energia elétrica;2025-05-31;10;Declínio;16278;23780
CNPJ_06697;98150473;2897595;1995-08-02;Comércio atacadista de tecidos;2025-05-31;30;Declínio;0;795
CNPJ_06680;24462983;1540652;2017-09-01;Distribuição de energia elétrica;2025-05-31;8;Maturidade;0;293
CNPJ_06681;20766159;1118216;2016-02-14;Defesa nacional;2025-05-31;9;Maturidade;613;0
CNPJ_06682;1073400;-99614;2020-06-17;Comércio atacadista de tecidos;2025-05-31;5;Maturidade;0;2966
CNPJ_06683;183467004;-17899578;2011-09-23;Engenharia civil;2025-05-31;14;Declínio;0;143486
CNPJ_06684;1375923;-134378;2019-01-22;Seguros de vida;2025-05-31;6;Maturidade;269;3265
CNPJ_06685;1143112;34177;2015-11-08;Transporte rodoviário de carga;2025-05-31;10;Declínio;0;23
CNPJ_06686;148035;-3738;2023-08-27;Comércio varejista de alimentos;2025-05-31;2;Expansão;60;0
CNPJ_06678;60996;5170;2021-05-10;Fabricação de caminhões e ônibus;2025-05-31;4;Expansão;3528;6071
CNPJ_06687;712085;34514;2018-09-03;Comércio atacadista de alimentos;2025-05-31;7;Maturidade;0;0
CNPJ_06689;23176280;1089005;2005-07-21;Obras de infraestrutura elétrica;2025-05-31;20;Declínio;0;0
CNPJ_06690;201862;-8661;2022-08-31;Educação superior;2025-05-31;3;Expansão;27;0
CNPJ_06691;693841;-24259;2014-06-10;Construção de rodovias;2025-05-31;11;Declínio;64;43
CNPJ_06692;5385586;-215817;1999-03-23;Defesa nacional;2025-05-31;26;Declínio;242;0
CNPJ_06693;131911;-7287;2022-12-25;Serviços de tecnologia da informação;2025-05-31;2;Expansão;165;50
CNPJ_06694;2520310;176359;2014-08-17;Seguros de vida;2025-05-31;11;Declínio;73;0
CNPJ_06695;434806;63017;2019-03-21;Engenharia civil;2025-05-31;6;Maturidade;3731578;1002839
CNPJ_06688;2332954;-218206;2015-06-03;Televisão aberta;2025-05-31;10;Declínio;71;0
CNPJ_06641;1471950;54154;2020-03-09;Comércio atacadista de tecidos;2025-05-31;5;Maturidade;0;225
CNPJ_06603;25942987;192774;2008-05-15;Cultivo de soja;2025-05-31;17;Declínio;41221;60
CNPJ_06639;17980149;754597;2016-09-16;Extração de petróleo e gás natural;2025-05-31;9;Maturidade;0;23
CNPJ_06584;188526;-13430;2022-10-17;Construção de edifícios;2025-05-31;3;Expansão;0;27
CNPJ_06585;1971112;-71827;2015-09-17;Extração de minério de ferro;2025-05-31;10;Declínio;0;809
CNPJ_06586;2093630;203760;2018-01-31;Transporte rodoviário de carga;2025-05-31;7;Maturidade;2194;3147
CNPJ_06587;19684115;254798;2001-01-05;Produção de alumínio;2025-05-31;24;Declínio;501;0
CNPJ_06588;1430116;95888;2022-03-07;Administração pública;2025-05-31;3;Expansão;620;0
CNPJ_06589;17263378;2168537;2005-04-28;Construção de rodovias;2025-05-31;20;Declínio;230;219
CNPJ_06590;207250;-13384;2023-03-04;Geração de energia elétrica;2025-05-31;2;Expansão;0;84
CNPJ_06591;99233;-11878;2023-04-30;Comércio atacadista de medicamentos;2025-05-31;2;Expansão;0;96
CNPJ_06592;232907;308;2023-03-11;Geração de energia elétrica;2025-05-31;2;Expansão;117;0
CNPJ_06593;1673638;-153937;2016-10-01;Comércio atacadista de tecidos;2025-05-31;9;Maturidade;0;10
CNPJ_06594;1175639;51503;2014-12-25;Comércio varejista de alimentos;2025-05-31;10;Declínio;2134099;1577873
CNPJ_06595;58910972;5595402;2005-03-15;Televisão por assinatura;2025-05-31;20;Declínio;639016;433720
CNPJ_06596;131434;-1090;2020-02-25;Construção de edifícios;2025-05-31;5;Maturidade;288;0
CNPJ_06597;1907501;132414;2014-09-11;Distribuição de energia elétrica;2025-05-31;11;Declínio;0;82
CNPJ_06598;2609568;29028;2017-10-27;Correios e entregas expressas;2025-05-31;8;Maturidade;57;0
CNPJ_06583;63324817;3949416;2010-10-09;Comércio varejista de alimentos;2025-05-31;15;Declínio;14;0
CNPJ_06582;2158292;308899;2019-02-10;Engenharia civil;2025-05-31;6;Maturidade;221;0
CNPJ_06581;1842062;203277;2014-06-19;Comércio atacadista de tecidos;2025-05-31;11;Declínio;0;275
CNPJ_06580;2733553;-29405;2022-09-12;Produção de ferro-gusa;2025-05-31;3;Expansão;0;18
CNPJ_06716;1542531;-104542;2015-03-07;Construção de edifícios;2025-05-31;10;Declínio;39;90
CNPJ_06565;8453931;158881;2001-10-02;Cultivo de arroz;2025-05-31;24;Declínio;433;0
CNPJ_06566;1112782;-160665;2020-11-09;Distribuição de energia elétrica;2025-05-31;5;Maturidade;29469;48527
CNPJ_06567;458761;-13086;2019-05-21;Planos de saúde;2025-05-31;6;Maturidade;0;128
CNPJ_06568;2601913;97513;2014-07-07;Saneamento básico;2025-05-31;11;Declínio;394;0
CNPJ_06569;170904179;-11802252;1997-10-23;Produção de alumínio;2025-05-31;28;Declínio;3131;736
CNPJ_06570;29725104;-1141128;2012-06-25;Telecomunicações sem fio;2025-05-31;13;Declínio;10780;1051
CNPJ_06599;2540926;250292;2022-10-03;Defesa nacional;2025-05-31;3;Expansão;0;1504
CNPJ_06571;444866;-40953;2019-03-10;Comércio atacadista de medicamentos;2025-05-31;6;Maturidade;26179;0
CNPJ_06573;21458495;980482;2007-02-16;Serviços de tecnologia da informação;2025-05-31;18;Declínio;0;0
CNPJ_06574;1350770;53841;2016-07-06;Televisão por assinatura;2025-05-31;9;Maturidade;0;0
CNPJ_06575;165797;2085;2023-02-12;Correios e entregas expressas;2025-05-31;2;Expansão;1297;1679
CNPJ_06576;8338716;263551;2017-08-11;Cultivo de soja;2025-05-31;8;Maturidade;424;0
CNPJ_06577;889946;73467;2014-12-18;Restaurantes e similares;2025-05-31;10;Declínio;2066;857
CNPJ_06578;1738873;221882;2016-01-30;Padaria e confeitaria;2025-05-31;9;Maturidade;0;41
CNPJ_06579;2643955;123978;2014-11-10;Transporte ferroviário de carga;2025-05-31;11;Declínio;0;0
CNPJ_06572;259700;-3261;2021-08-18;Comércio varejista de combustíveis;2025-05-31;4;Expansão;0;56
CNPJ_06640;2087937;-42065;2015-10-30;Administração pública;2025-05-31;10;Declínio;835542;268906
CNPJ_06600;15445710;2288701;2013-06-08;Serviços de tecnologia da informação;2025-05-31;12;Declínio;55380;5560184
CNPJ_06602;190836452;16194921;2010-12-23;Comércio atacadista de alimentos;2025-05-31;14;Declínio;12880740;4309640
CNPJ_06624;1336960;113865;2018-08-18;Engenharia civil;2025-05-31;7;Maturidade;0;58
CNPJ_06625;98390310;-5527890;2010-01-03;Geração de energia elétrica;2025-05-31;15;Declínio;758;50
CNPJ_06626;141679547;4993809;2010-04-12;Produção cinematográfica;2025-05-31;15;Declínio;0;669
CNPJ_06627;2642395;247284;2017-12-20;Hotéis e pousadas;2025-05-31;7;Maturidade;6084591;742496
CNPJ_06628;774711;56716;2015-03-19;Produção cinematográfica;2025-05-31;10;Declínio;75;0
CNPJ_06629;10207166;-540294;2005-03-26;Fabricação de automóveis;2025-05-31;20;Declínio;18;0
CNPJ_06630;184211;-379;2020-03-06;Construção de rodovias;2025-05-31;5;Maturidade;45;0
CNPJ_06631;381521;595;2018-04-24;Geração de energia elétrica;2025-05-31;7;Maturidade;4059;0
CNPJ_06632;107431;-7865;2021-11-14;Transporte rodoviário de carga;2025-05-31;4;Expansão;43;0
CNPJ_06633;2770528;-30499;2017-09-16;Fabricação de caminhões e ônibus;2025-05-31;8;Maturidade;41;44
CNPJ_06634;1326644;26434;2019-04-17;Serviços de tecnologia da informação;2025-05-31;6;Maturidade;2450;0
CNPJ_06635;2435327;116541;2018-04-13;Comércio varejista de alimentos;2025-05-31;7;Maturidade;0;27
CNPJ_06636;79444;3353;2022-08-29;Cultivo de trigo;2025-05-31;3;Expansão;0;98
CNPJ_06637;1285885;151588;2019-04-06;Cultivo de arroz;2025-05-31;6;Maturidade;24;1461
CNPJ_06638;248417;2399;2020-08-04;Produção cinematográfica;2025-05-31;5;Maturidade;0;287
CNPJ_06623;170417;9655;2022-09-14;Comércio atacadista de medicamentos;2025-05-31;3;Expansão;0;0
CNPJ_06622;50013;3434;2019-11-11;Atividades de bancos múltiplos;2025-05-31;6;Maturidade;86;53
CNPJ_06621;393020;-4447;2016-04-12;Construção de rodovias;2025-05-31;9;Maturidade;6584;0
CNPJ_06620;116218452;-8572084;2004-03-13;Cultivo de milho;2025-05-31;21;Declínio;0;98
CNPJ_06604;175641;1167;2023-05-27;Telecomunicações sem fio;2025-05-31;2;Expansão;271;215
CNPJ_06605;1870454;-106046;2015-10-23;Comércio atacadista de alimentos;2025-05-31;10;Declínio;190;0
CNPJ_06606;131696;-2063;2023-09-22;Fabricação de caminhões e ônibus;2025-05-31;2;Expansão;3865;5342
CNPJ_06607;220824;19613;2019-01-17;Atividades hospitalares;2025-05-31;6;Maturidade;0;53
CNPJ_06608;2571086;-175354;2021-03-10;Comércio atacadista de medicamentos;2025-05-31;4;Expansão;0;0
CNPJ_06609;1651686;-148624;2022-12-28;Serviços de tecnologia da informação;2025-05-31;2;Expansão;91;84
CNPJ_06610;101140278;12340952;1998-05-05;Planos de saúde;2025-05-31;27;Declínio;11655845;7476109
CNPJ_06601;106885579;2059102;1998-08-07;Comércio atacadista de tecidos;2025-05-31;27;Declínio;1134;0
CNPJ_06611;273804;-10422;2023-10-22;Correios e entregas expressas;2025-05-31;2;Expansão;307521;45899
CNPJ_06613;256174;-3307;2019-03-31;Correios e entregas expressas;2025-05-31;6;Maturidade;0;0
CNPJ_06614;1324672;16168;2021-03-26;Transporte ferroviário de carga;2025-05-31;4;Expansão;100;0
CNPJ_06615;381478;-36645;2022-10-18;Padaria e confeitaria;2025-05-31;3;Expansão;4949;3260
CNPJ_06616;26072784;-740697;2021-02-20;Fabricação de móveis;2025-05-31;4;Expansão;90;0
CNPJ_06617;26259750;-558768;2009-06-01;Comércio varejista de alimentos;2025-05-31;16;Declínio;0;19
CNPJ_06618;2568561;189919;2015-01-30;Consultoria empresarial;2025-05-31;10;Declínio;55;43
CNPJ_06619;7409842;599945;2015-03-12;Telecomunicações sem fio;2025-05-31;10;Declínio;0;7507
CNPJ_06612;21392834;409897;2018-02-22;Cultivo de soja;2025-05-31;7;Maturidade;5719;9118
CNPJ_06717;2817133;285213;2019-01-27;Atividades de bancos múltiplos;2025-05-31;6;Maturidade;0;285
CNPJ_06872;1165595;-86343;2015-08-24;Restaurantes e similares;2025-05-31;10;Declínio;0;372319
CNPJ_06719;1982194;-144257;2020-04-08;Saneamento básico;2025-05-31;5;Maturidade;0;0
CNPJ_06819;212032;-3479;2023-08-30;Seguros de vida;2025-05-31;2;Expansão;5530;0
CNPJ_06820;15329390;-1326727;2017-05-21;Extração de minério de ferro;2025-05-31;8;Maturidade;0;49
CNPJ_06821;745682;-41277;2019-10-23;Defesa nacional;2025-05-31;6;Maturidade;52;0
CNPJ_06822;1911856;-70188;2021-12-07;Fabricação de automóveis;2025-05-31;3;Expansão;1386;0
CNPJ_06823;113180;-1987;2020-06-12;Engenharia civil;2025-05-31;5;Maturidade;0;383
CNPJ_06824;2911545;344989;2022-12-01;Restaurantes e similares;2025-05-31;2;Expansão;837;0
CNPJ_06825;2157754;-28218;2014-06-20;Educação superior;2025-05-31;11;Declínio;84;81
CNPJ_06826;1773758;-157094;2021-02-24;Distribuição de energia elétrica;2025-05-31;4;Expansão;0;91
CNPJ_06827;2874524;-429628;2019-04-26;Correios e entregas expressas;2025-05-31;6;Maturidade;194;0
CNPJ_06828;28511508;-2324146;2018-02-03;Saneamento básico;2025-05-31;7;Maturidade;5442;140
CNPJ_06829;201545;7029;2021-07-25;Televisão por assinatura;2025-05-31;4;Expansão;0;0
CNPJ_06830;1878950;-133012;2022-06-05;Hotéis e pousadas;2025-05-31;3;Expansão;473;708
CNPJ_06831;2955320;28612;2017-12-22;Comércio atacadista de bebidas;2025-05-31;7;Maturidade;7344031;2541186
CNPJ_06832;161229044;-12218035;1997-12-13;Hotéis e pousadas;2025-05-31;27;Declínio;413895;52797
CNPJ_06833;130619;12350;2022-11-03;Cultivo de soja;2025-05-31;3;Expansão;17587371;8049850
CNPJ_06818;1567743;-70212;2018-12-07;Fabricação de caminhões e ônibus;2025-05-31;6;Maturidade;0;9597
CNPJ_06817;6888812;-339007;2014-12-28;Saneamento básico;2025-05-31;10;Declínio;0;0
CNPJ_06816;177560322;11823316;2004-01-27;Armazenamento geral;2025-05-31;21;Declínio;0;73
CNPJ_06815;7854271;-215771;2020-12-10;Fabricação de papel;2025-05-31;4;Expansão;0;5552
CNPJ_06799;29827554;-2211339;2000-09-11;Fabricação de produtos químicos;2025-05-31;25;Declínio;0;59
CNPJ_06800;197622;-12794;2023-08-07;Transporte ferroviário de carga;2025-05-31;2;Expansão;0;27
CNPJ_06801;182337399;19870997;2010-10-05;Extração de minério de ferro;2025-05-31;15;Declínio;173;0
CNPJ_06802;2173085;-37315;2022-09-16;Fabricação de automóveis;2025-05-31;3;Expansão;61;0
CNPJ_06803;2804551;16347;2017-08-05;Televisão por assinatura;2025-05-31;8;Maturidade;6752;8639
CNPJ_06804;221286;20359;2022-05-19;Fabricação de automóveis;2025-05-31;3;Expansão;680;0
CNPJ_06805;181757270;691492;2010-09-05;Transporte rodoviário de carga;2025-05-31;15;Declínio;0;0
CNPJ_06834;295188;-18876;2020-12-09;Cultivo de arroz;2025-05-31;4;Expansão;207;0
CNPJ_06806;1248442;59917;2016-06-09;Consultoria empresarial;2025-05-31;9;Maturidade;3374;0
CNPJ_06808;444109;42292;2022-07-20;Armazenamento geral;2025-05-31;3;Expansão;0;4963
CNPJ_06809;1275759;31564;2022-06-23;Restaurantes e similares;2025-05-31;3;Expansão;0;63211
CNPJ_06810;4475673;-301168;2014-09-05;Comércio atacadista de alimentos;2025-05-31;11;Declínio;0;68
CNPJ_06811;105777429;3177514;2000-05-14;Comércio varejista de alimentos;2025-05-31;25;Declínio;0;421
CNPJ_06812;94632180;2355142;2004-05-06;Construção de rodovias;2025-05-31;21;Declínio;4825;0
CNPJ_06813;141185729;7021082;2002-01-04;Geração de energia elétrica;2025-05-31;23;Declínio;630054;11928
CNPJ_06814;6896224;250135;2018-08-26;Cultivo de arroz;2025-05-31;7;Maturidade;0;208
CNPJ_06807;55239614;-4860124;1999-12-25;Construção de edifícios;2025-05-31;25;Declínio;0;0
CNPJ_06798;2633544;-243124;2016-09-12;Comércio varejista de combustíveis;2025-05-31;9;Maturidade;0;248
CNPJ_06835;1581149;92912;2019-06-28;Fabricação de móveis;2025-05-31;6;Maturidade;90;30
CNPJ_06837;190803;2078;2021-04-20;Geração de energia elétrica;2025-05-31;4;Expansão;0;0
CNPJ_06858;177179361;-17421119;1997-06-21;Seguros de vida;2025-05-31;28;Declínio;0;0
CNPJ_06859;2279071;-127038;2019-10-10;Distribuição de energia elétrica;2025-05-31;6;Maturidade;238;0
CNPJ_06860;20057424;571998;2002-11-09;Construção de edifícios;2025-05-31;23;Declínio;0;2048
CNPJ_06861;2704729;-11143;2020-02-23;Extração de minério de ferro;2025-05-31;5;Maturidade;0;912
CNPJ_06862;8258758;-667809;2019-06-14;Fabricação de caminhões e ônibus;2025-05-31;6;Maturidade;4509;5478
CNPJ_06863;196907;15550;2023-02-06;Produção de ferro-gusa;2025-05-31;2;Expansão;0;1223
CNPJ_06864;147996;-2352;2019-11-09;Hotéis e pousadas;2025-05-31;6;Maturidade;1789;2654
CNPJ_06865;1563476;55237;2016-05-02;Saneamento básico;2025-05-31;9;Maturidade;12;0
CNPJ_06866;3906513;-116821;2010-03-15;Extração de minério de ferro;2025-05-31;15;Declínio;6804936;1230319
CNPJ_06867;13872494;-1235618;2001-12-01;Produção de alumínio;2025-05-31;23;Declínio;8519;996
CNPJ_06868;114936;7384;2023-08-07;Restaurantes e similares;2025-05-31;2;Expansão;0;44
CNPJ_06869;159202442;16491588;1996-09-09;Comércio atacadista de medicamentos;2025-05-31;29;Declínio;0;27
CNPJ_06870;161070;-15308;2019-01-10;Comércio varejista de combustíveis;2025-05-31;6;Maturidade;0;10408
CNPJ_06871;1474949;90603;2017-06-15;Comércio atacadista de bebidas;2025-05-31;8;Maturidade;2768;0
CNPJ_06564;6751222;-372346;2007-05-26;Comércio atacadista de tecidos;2025-05-31;18;Declínio;57;237
CNPJ_06857;5881421;-448472;2013-03-26;Fabricação de produtos químicos;2025-05-31;12;Declínio;0;0
CNPJ_06856;50479;1467;2021-08-20;Hotéis e pousadas;2025-05-31;4;Expansão;0;340
CNPJ_06855;616797;-43772;2014-04-10;Produção de ferro-gusa;2025-05-31;11;Declínio;366113;15923
CNPJ_06854;122715;10887;2020-07-12;Saneamento básico;2025-05-31;5;Maturidade;42;34
CNPJ_06838;29520378;1922958;2006-08-06;Extração de petróleo e gás natural;2025-05-31;19;Declínio;128;0
CNPJ_06839;126341;3198;2023-12-26;Fabricação de móveis;2025-05-31;1;Início;0;2835
CNPJ_06840;16569253;-1641623;2012-03-21;Comércio atacadista de calçados;2025-05-31;13;Declínio;0;0
CNPJ_06841;2523878;194352;2021-12-26;Construção de barragens;2025-05-31;3;Expansão;634;0
CNPJ_06842;249698;15295;2021-10-16;Construção de barragens;2025-05-31;4;Expansão;3026;0
CNPJ_06843;260237;35328;2023-01-16;Defesa nacional;2025-05-31;2;Expansão;321338;2110684
CNPJ_06844;75113563;-8844363;1997-10-31;Construção de rodovias;2025-05-31;28;Declínio;60;0
CNPJ_06836;2076882;-121728;2015-11-14;Saneamento básico;2025-05-31;10;Declínio;8141;0
CNPJ_06845;65848637;4431256;2001-08-15;Armazenamento geral;2025-05-31;24;Declínio;50;3453
CNPJ_06847;344626;11580;2020-01-13;Montagem industrial;2025-05-31;5;Maturidade;3708;0
CNPJ_06848;15938447;1504565;2005-05-05;Produção de ferro-gusa;2025-05-31;20;Declínio;0;629
CNPJ_06849;2604489;316976;2017-11-19;Planos de saúde;2025-05-31;8;Maturidade;28423;2266791
CNPJ_06850;1002428;-60761;2014-04-08;Atividades de bancos múltiplos;2025-05-31;11;Declínio;177724;2543300
CNPJ_06851;2818812;159252;2021-04-12;Cultivo de trigo;2025-05-31;4;Expansão;9029;0
CNPJ_06852;66967468;-4024985;2014-11-14;Planos de saúde;2025-05-31;11;Declínio;4370578;2914924
CNPJ_06853;135575684;2988137;1996-01-31;Fabricação de automóveis;2025-05-31;29;Declínio;11926;0
CNPJ_06846;53143165;2540673;2014-06-25;Fabricação de produtos químicos;2025-05-31;11;Declínio;27;36
CNPJ_06797;219584;10620;2021-02-10;Administração pública;2025-05-31;4;Expansão;0;9753
CNPJ_06796;23460477;-501981;2016-04-18;Comércio varejista de combustíveis;2025-05-31;9;Maturidade;0;31
CNPJ_06795;110291;-11906;2022-10-21;Comércio atacadista de bebidas;2025-05-31;3;Expansão;0;0
CNPJ_06740;25067588;1125791;2004-07-11;Engenharia civil;2025-05-31;21;Declínio;0;0
CNPJ_06741;29269482;354133;2005-02-05;Fabricação de automóveis;2025-05-31;20;Declínio;162;0
CNPJ_06742;2955540;203887;2014-12-06;Produção cinematográfica;2025-05-31;10;Declínio;934;1871
CNPJ_06743;26956371;2140323;2008-10-09;Televisão por assinatura;2025-05-31;17;Declínio;0;23
CNPJ_06744;2813147;-11444;2022-10-06;Defesa nacional;2025-05-31;3;Expansão;11996;14353
CNPJ_06745;23661771;-1427786;2003-05-09;Atividades de bancos múltiplos;2025-05-31;22;Declínio;24;0
CNPJ_06746;1569285;-33594;2015-07-17;Obras de infraestrutura elétrica;2025-05-31;10;Declínio;4720494;2068664
CNPJ_06747;377877;33840;2014-10-18;Telecomunicações sem fio;2025-05-31;11;Declínio;546;0
CNPJ_06748;88455;3264;2022-02-11;Fabricação de produtos químicos;2025-05-31;3;Expansão;0;61
CNPJ_06749;227195;11715;2022-11-06;Construção de edifícios;2025-05-31;3;Expansão;285834;48560
CNPJ_06750;17641605;-1513323;2005-12-14;Correios e entregas expressas;2025-05-31;19;Declínio;0;0
CNPJ_06751;23549193;864911;2012-07-01;Fabricação de caminhões e ônibus;2025-05-31;13;Declínio;192506;279468
CNPJ_06752;2650852;214136;2022-10-10;Transporte rodoviário de carga;2025-05-31;3;Expansão;237;0
CNPJ_06753;1027958;-7754;2016-09-09;Produção de ferro-gusa;2025-05-31;9;Maturidade;49;0
CNPJ_06754;1780239;64161;2016-08-12;Produção de ferro-gusa;2025-05-31;9;Maturidade;0;84
CNPJ_06739;421293;17674;2019-05-01;Fabricação de produtos químicos;2025-05-31;6;Maturidade;4840181;1659022
CNPJ_06738;894595;52333;2017-07-26;Cultivo de soja;2025-05-31;8;Maturidade;1398926;764703
CNPJ_06737;2465883;119962;2019-04-19;Comércio atacadista de bebidas;2025-05-31;6;Maturidade;34018;0
CNPJ_06736;182139;14189;2020-11-14;Comércio atacadista de medicamentos;2025-05-31;5;Maturidade;1328;0
CNPJ_06720;18590848;1797512;2016-12-29;Comércio atacadista de alimentos;2025-05-31;8;Maturidade;58;0
CNPJ_06721;71510;-5438;2023-09-07;Comércio atacadista de bebidas;2025-05-31;2;Expansão;38;0
CNPJ_06722;541972;28763;2019-07-24;Fabricação de papel;2025-05-31;6;Maturidade;0;7
CNPJ_06723;7595546;562707;2021-12-24;Construção de rodovias;2025-05-31;3;Expansão;7984;37
CNPJ_06724;696205;73686;2016-08-23;Engenharia civil;2025-05-31;9;Maturidade;45;14
CNPJ_06725;2095823;83653;2018-01-21;Produção de ferro-gusa;2025-05-31;7;Maturidade;0;34
